national_material_code,standardized_description,category,material_type,uom,cpses_sharing,num_legacy_codes,avg_rate_inr,min_rate_inr,max_rate_inr,confidence,status
PROVISIONAL-SAFETY-VALVE-IOCL-RM-00053,SAFETY VALVE | BRONZE | 150 | SCR | NOS,valve,safety valve,NOS,IOCL,1,4337,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
PROVISIONAL-FLAT-WASHER-IOCL-RM-00025,FLAT WASHER | ZN | DIN 125 | NOS,fastener,flat washer,NOS,IOCL,1,3,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
PROVISIONAL-FLAT-WASHER-IOCL-RM-00023,FLAT WASHER | ZN | DIN 125 | NOS,fastener,flat washer,NOS,IOCL,1,3,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-ELEC-MCB-71D51737,MCB | 4P | NOS,electrical,mcb,NOS,IOCL,1,497,,,1.0,NEEDS_REVIEW
NMC-INS-PGAUGE-7B62B05F,PRESSURE GAUGE | 4.0IN | 10KG | BSP | NOS,instrument,pressure gauge,NOS,IOCL,1,1551,,,1.0,NEEDS_REVIEW
PROVISIONAL-SOCKET-HEAD-CA-IOCL-RM-00029,SOCKET HEAD CAP SCREW | 12.9 | BLK | DIN 912 | NOS,fastener,socket head cap screw,NOS,IOCL,1,22,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-VLV-CHECK-5689C50A,CHECK VALVE | 3.0IN | CAST STEEL | 150 | NOS,valve,check valve,NOS,IOCL,1,2978,,,1.0,UNIQUE
NMC-FAST-BOLT-DD488004,HEX BOLT | M10X40 | DIN 933 | NOS,fastener,hex bolt,NOS,IOCL,1,18,,,1.0,NEEDS_REVIEW
NMC-FAST-NUT-82059210,HEX NUT | 8 | ZN | NOS,fastener,hex nut,NOS,IOCL,1,6,,,1.0,NEEDS_REVIEW
PROVISIONAL-HEX-BOLT-IOCL-RM-00009,HEX BOLT | M10X30 | NOS,fastener,hex bolt,NOS,IOCL,1,19,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-VLV-GATE-967B1E5A,GATE VALVE | 2.0IN | 150 | NOS,valve,gate valve,NOS,IOCL,1,5242,,,1.0,NEEDS_REVIEW
NMC-GEN-4EE7C30E,UNKNOWN | WPB | SCH40 | NOS,unknown,unknown,NOS,IOCL,1,580,,,1.0,NEEDS_REVIEW
NMC-ELEC-CABLE-ED49C1ED,CABLE | 1.1KV | 3CX4.0 | NOS,electrical,cable,NOS,IOCL,1,100,,,1.0,NEEDS_REVIEW
NMC-GEN-1C6DE1D0,BOLT | M20X100 | B16 | PLN | NOS,fastener,bolt,NOS,IOCL,1,105,,,1.0,NEEDS_REVIEW
PROVISIONAL-ELBOW-IOCL-RM-00060,ELBOW | WPB | SCH40 | 90DEG | NOS,fitting,elbow,NOS,IOCL,1,383,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-BRG-BALL-203B4A07,BALL BEARING | 6305 | 2RS | NOS,bearing,ball bearing,NOS,IOCL,1,291,,,1.0,UNIQUE
PROVISIONAL-BALL-BEARING-IOCL-RM-00034,BALL BEARING | NOS,bearing,ball bearing,NOS,IOCL,1,267,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
PROVISIONAL-HEX-BOLT-IOCL-RM-00011,HEX BOLT | M12X50 | PLN | DIN 931 | NOS,fastener,hex bolt,NOS,IOCL,1,20,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-ELEC-MCB-CF77C627,MCB | 63A | 2P | C | NOS,electrical,mcb,NOS,IOCL,1,463,,,1.0,UNIQUE
NMC-FAST-STUD-8E6BCEDF,STUD BOLT | M16X80 | B7 | A193 | PLN | ASTM A193 | NOS,fastener,stud bolt,NOS,IOCL,1,100,,,1.0,UNIQUE
NMC-FAST-BOLT-58FE79EA,HEX BOLT | PLN | NOS,fastener,hex bolt,NOS,IOCL,1,18,,,1.0,NEEDS_REVIEW
PROVISIONAL-HEX-BOLT-IOCL-RM-00007,HEX BOLT | M10X30 | PLN | DIN 933 | NOS,fastener,hex bolt,NOS,IOCL,1,19,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-FIT-FLANGE-0DFCC1E6,FLANGE | 1.0IN | A105 | 150 | SO | ASTM A105 | NOS,fitting,flange,NOS,IOCL,1,667,,,1.0,UNIQUE
NMC-VLV-GLOBE-3F993AB7,GLOBE VALVE | 2.0IN | 150 | FLG | NOS,valve,globe valve,NOS,IOCL,1,3542,,,1.0,NEEDS_REVIEW
NMC-PIPE-C08D2E30,PIPE | 2.0IN | SCH80 | MTR,pipe,pipe,MTR,IOCL,1,311,,,1.0,NEEDS_REVIEW
NMC-PIPE-5660C6BA,PIPE | 6.0IN | MTR,pipe,pipe,MTR,NTPC,1,351,,,1.0,NEEDS_REVIEW
NMC-PIPE-A7CB8438,PIPE | 2.0IN | TP304 | MTR,pipe,pipe,MTR,NTPC,1,987,,,1.0,NEEDS_REVIEW
PROVISIONAL-THERMOWELL-NTPC-EGW000094,THERMOWELL | 2.0IN | 150MM | NOS,instrument,thermowell,NOS,NTPC,1,972,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
PROVISIONAL-CENTRIFUGAL-PU-NTPC-EGW000089,CENTRIFUGAL PUMP | 45M3/HR | 50M | NOS,pump,centrifugal pump,NOS,NTPC,1,31526,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-ELEC-CONTR-59C61C64,CONTACTOR | 4P | NOS,electrical,contactor,NOS,NTPC,1,2300,,,1.0,NEEDS_REVIEW
NMC-GEN-61FD735C,UNKNOWN | 2.0IN | SS304 | NOS,unknown,unknown,NOS,NTPC,1,1037,,,1.0,NEEDS_REVIEW
PROVISIONAL-PRESSURE-GAUGE-NTPC-EGW000092,PRESSURE GAUGE | 4.0IN | 16KG | BOURDON | BSP | NOS,instrument,pressure gauge,NOS,NTPC,1,1667,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
PROVISIONAL-SOCKET-HEAD-CA-NTPC-EGW000027,SOCKET HEAD CAP SCREW | 12.9 | BLK | DIN 912 | NOS,fastener,socket head cap screw,NOS,NTPC,1,25,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-GEN-98BDF1EE,UNKNOWN | 1.1KV | 2CX1.5 | NOS,unknown,unknown,NOS,NTPC,1,106,,,1.0,NEEDS_REVIEW
NMC-FAST-STUD-FFF513E2,STUD BOLT | A193 | ASTM A193 | NOS,fastener,stud bolt,NOS,NTPC,1,112,,,1.0,NEEDS_REVIEW
PROVISIONAL-BALL-BEARING-NTPC-EGW000036,BALL BEARING | NOS,bearing,ball bearing,NOS,NTPC,1,305,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-FAST-BOLT-D5CFBBDA,HEX BOLT | M12X40 | ZN | IS 1364 | NOS,fastener,hex bolt,NOS,NTPC,1,21,,,1.0,NEEDS_REVIEW
PROVISIONAL-BALL-BEARING-NTPC-EGW000032,BALL BEARING | OPEN | NOS,bearing,ball bearing,NOS,NTPC,1,278,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-LUB-GREASE-6BF905EB,GREASE | LITHIUM | 5KG | PKT,lubricant,grease,PKT,NTPC,1,459,,,1.0,NEEDS_REVIEW
NMC-GEN-B7DB1ABC,UNKNOWN | 4P | C | NOS,unknown,unknown,NOS,NTPC,1,550,,,1.0,NEEDS_REVIEW
NMC-FIT-FLANGE-EEAD1B7B,FLANGE | A105 | 150 | ASTM A105 | NOS,fitting,flange,NOS,NTPC,1,741,,,1.0,NEEDS_REVIEW
PROVISIONAL-BALL-BEARING-NTPC-EGW000034,BALL BEARING | 2RS | NOS,bearing,ball bearing,NOS,NTPC,1,282,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
PROVISIONAL-BALL-BEARING-NTPC-EGW000033,BALL BEARING | 2RS | NOS,bearing,ball bearing,NOS,NTPC,1,280,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-FIT-TEE-E38808FC,TEE | 1.5IN | FORGED STEEL | SW | NOS,fitting,tee,NOS,NTPC,1,3860,,,1.0,NEEDS_REVIEW
NMC-FIT-FLANGE-99A4DC9D,FLANGE | 3.0IN | A105 | ASTM A105 | NOS,fitting,flange,NOS,NTPC,1,727,,,1.0,NEEDS_REVIEW
NMC-LUB-HYDOIL-C241A71F,HYDRAULIC OIL | VG46 | PKT,lubricant,hydraulic oil,PKT,NTPC,1,373,,,1.0,NEEDS_REVIEW
PROVISIONAL-PRESSURE-GAUGE-NTPC-EGW000093,PRESSURE GAUGE | 10KG | BOURDON | BSP | NOS,instrument,pressure gauge,NOS,NTPC,1,1672,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-FIT-FLANGE-396952CB,FLANGE | 1.0IN | A105 | 150 | ASTM A105 | NOS,fitting,flange,NOS,NTPC,1,716,,,1.0,NEEDS_REVIEW
PROVISIONAL-CENTRIFUGAL-PU-NTPC-EGW000088,CENTRIFUGAL PUMP | 45M3/HR | 50M | NOS,pump,centrifugal pump,NOS,NTPC,1,30669,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-BRG-BALL-72021C64,BALL BEARING | ZZ | NOS,bearing,ball bearing,NOS,NTPC,1,317,,,1.0,NEEDS_REVIEW
NMC-GEN-533D03F5,OIL | EP | VG220 | 20L | PKT,lubricant,oil,PKT,NTPC,1,340,,,1.0,NEEDS_REVIEW
PROVISIONAL-BALL-BEARING-NTPC-EGW000035,BALL BEARING | 2RS | NOS,bearing,ball bearing,NOS,NTPC,1,279,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-FIT-ELBOW-06DF4811,ELBOW | 3.0IN | WPB | 90DEG | NOS,fitting,elbow,NOS,NTPC,1,439,,,1.0,NEEDS_REVIEW
NMC-FAST-STUD-9B84087F,STUD BOLT | M20X100 | NOS,fastener,stud bolt,NOS,NTPC,1,104,,,1.0,NEEDS_REVIEW
NMC-ELEC-CABLE-90D9B082,CABLE | PVC | 2CX1.5 | NOS,electrical,cable,NOS,NTPC,1,100,,,1.0,NEEDS_REVIEW
PROVISIONAL-FLAT-WASHER-NTPC-EGW000020,FLAT WASHER | ZN | DIN 9021 | NOS,fastener,flat washer,NOS,NTPC,1,3,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
PROVISIONAL-FLANGE-NTPC-EGW000064,FLANGE | 2.0IN | A105 | 150 | ASTM A105 | NOS,fitting,flange,NOS,NTPC,1,712,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-GEN-C57EE76F,UNKNOWN | A106B | SCH40 | MTR,unknown,unknown,MTR,NTPC,1,344,,,1.0,NEEDS_REVIEW
PROVISIONAL-HEX-NUT-NTPC-EGW000014,HEX NUT | M10 | NOS,fastener,hex nut,NOS,NTPC,1,7,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-FIT-FLANGE-630D711E,FLANGE | 3.0IN | 150 | FLG | NOS,fitting,flange,NOS,NTPC,1,5149,,,1.0,NEEDS_REVIEW
NMC-VLV-BALL-80F823C8,BALL VALVE | SS316 | FLG | NOS,valve,ball valve,NOS,NTPC,1,1580,,,1.0,NEEDS_REVIEW
PROVISIONAL-HEX-BOLT-NTPC-EGW000005,HEX BOLT | M10X30 | DIN 933 | NOS,fastener,hex bolt,NOS,NTPC,1,20,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-VLV-GLOBE-25CE24B1,GLOBE VALVE | 2.0IN | CAST STEEL | NOS,valve,globe valve,NOS,NTPC,1,3992,,,1.0,NEEDS_REVIEW
NMC-FAST-NUT-77AE91C5,HEX NUT | M14 | HDG | DIN 934 | NOS,fastener,hex nut,NOS,NTPC,1,6,,,1.0,NEEDS_REVIEW
NMC-VLV-GATE-E707E768,GATE VALVE | FLG | NOS,valve,gate valve,NOS,NTPC,1,5860,,,1.0,NEEDS_REVIEW
NMC-INS-PGAUGE-0C7A34D3,PRESSURE GAUGE | 4.0IN | 10KG | BOURDON | BSP | NOS,instrument,pressure gauge,NOS,NTPC,1,1770,,,1.0,NEEDS_REVIEW
NMC-VLV-BALL-AE422E88,BALL VALVE | 1.0IN | SS316 | SCR | NOS,valve,ball valve,NOS,NTPC,1,1513,,,1.0,NEEDS_REVIEW
PROVISIONAL-PIPE-NTPC-EGW000052,PIPE | A106B | SCH40 | MTR,pipe,pipe,MTR,NTPC,1,380,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-ELEC-MOTOR-5C21285D,INDUCTION MOTOR | 1440RPM | 3PH | NOS,electrical,induction motor,NOS,NTPC,1,22623,,,1.0,NEEDS_REVIEW
PROVISIONAL-FLANGE-NTPC-EGW000063,FLANGE | 2.0IN | A105 | 150 | ASTM A105 | NOS,fitting,flange,NOS,NTPC,1,699,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-LUB-TURBOIL-9F5BC707,TURBINE OIL | MINERAL | VG32 | PKT,lubricant,turbine oil,PKT,NTPC,1,393,,,1.0,NEEDS_REVIEW
NMC-FAST-NUT-36B87CE2,HEX NUT | M16 | ZN | DIN 934 | NOS,fastener,hex nut,NOS,NTPC,1,7,,,1.0,NEEDS_REVIEW
NMC-ELEC-CABLE-8428AC2B,CABLE | 1.1KV | XLPE | 3CX4.0 | NOS,electrical,cable,NOS,NTPC,1,103,,,1.0,UNIQUE
PROVISIONAL-HEX-BOLT-NTPC-EGW000006,HEX BOLT | M10X30 | PLN | DIN 933 | NOS,fastener,hex bolt,NOS,NTPC,1,19,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-FAST-BOLT-0818329A,HEX BOLT | M14X56 | HDG | DIN 933 | NOS,fastener,hex bolt,NOS,NTPC,1,22,,,1.0,NEEDS_REVIEW
NMC-VLV-BFLY-E54B59A0,BUTTERFLY VALVE | 6.0IN | CAST IRON | WAFER | NOS,valve,butterfly valve,NOS,NTPC,1,3555,,,1.0,NEEDS_REVIEW
PROVISIONAL-HEX-BOLT-NTPC-EGW000007,HEX BOLT | M12X50 | PLN | DIN 931 | NOS,fastener,hex bolt,NOS,NTPC,1,22,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-PMP-GEAR-DA336062,GEAR PUMP | 10BAR | 1.5KW | GLAND | NOS,pump,gear pump,NOS,NTPC,1,17797,,,1.0,NEEDS_REVIEW
PROVISIONAL-BALL-BEARING-NTPC-EGW000038,BALL BEARING | 2RS | NOS,bearing,ball bearing,NOS,NTPC,1,276,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
PROVISIONAL-HEX-BOLT-NTPC-EGW000008,HEX BOLT | M12X50 | PLN | NOS,fastener,hex bolt,NOS,NTPC,1,21,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-PIPE-61755EDD,PIPE | 2.0IN | SCH10 | MTR,pipe,pipe,MTR,NTPC,1,977,,,1.0,NEEDS_REVIEW
PROVISIONAL-HEX-NUT-NTPC-EGW000013,HEX NUT | M10 | PLN | DIN 934 | NOS,fastener,hex nut,NOS,NTPC,1,7,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-PIPE-B0B7439A,PIPE | 4.0IN | IS1239 | IS 1239 | MTR,pipe,pipe,MTR,NTPC,1,286,,,1.0,NEEDS_REVIEW
NMC-ELEC-MOTOR-9F63F782,INDUCTION MOTOR | 5HP | 1440RPM | 3PH | NOS,electrical,induction motor,NOS,NTPC,1,21934,,,1.0,NEEDS_REVIEW
PROVISIONAL-REDUCER-NTPC-EGW000062,REDUCER | WPB | SCH40 | NOS,fitting,reducer,NOS,NTPC,1,603,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-FAST-BOLT-0DC523CF,HEX BOLT | M10X40 | 10.9 | DIN 933 | NOS,fastener,hex bolt,NOS,SAIL,1,18,,,1.0,UNIQUE
NMC-LUB-GREASE-5E214BE4,GREASE | EP | NLGI2 | 18KG | PKT,lubricant,grease,PKT,SAIL,1,405,,,1.0,UNIQUE
NMC-VLV-GATE-1AE21128,GATE VALVE | 2.0IN | CAST STEEL | 150 | FLG | NOS,valve,gate valve,NOS,SAIL,1,4430,,,1.0,UNIQUE
NMC-ELEC-CABLE-72B9E76B,CABLE | 1.1KV | NOS,electrical,cable,NOS,SAIL,1,88,,,1.0,NEEDS_REVIEW
NMC-INS-LEVEL-445345DF,LEVEL INDICATOR | 2000MM | NOS,instrument,level indicator,NOS,SAIL,1,10969,,,1.0,NEEDS_REVIEW
NMC-PIPE-186FE698,PIPE | 2.0IN | A106B | SCH80 | MTR,pipe,pipe,MTR,SAIL,1,287,,,1.0,UNIQUE
PROVISIONAL-BALL-BEARING-SAIL-S100189,BALL BEARING | NOS,bearing,ball bearing,NOS,SAIL,1,231,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
PROVISIONAL-HEX-BOLT-SAIL-S100035,HEX BOLT | M10X30 | PLN | NOS,fastener,hex bolt,NOS,SAIL,1,18,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-ELEC-CONTR-FA9754D8,CONTACTOR | 65A | NOS,electrical,contactor,NOS,SAIL,1,1785,,,1.0,NEEDS_REVIEW
NMC-FIT-REDUCER-47888608,REDUCER | 1.0IN-2.0IN | WPB | SCH40 | NOS,fitting,reducer,NOS,SAIL,1,483,,,1.0,UNIQUE
PROVISIONAL-CABLE-SAIL-S100476,CABLE | 1.1KV | PVC | NOS,electrical,cable,NOS,SAIL,1,89,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-LUB-HYDOIL-33E8D19A,HYDRAULIC OIL | MINERAL | VG46 | PKT,lubricant,hydraulic oil,PKT,SAIL,1,310,,,1.0,NEEDS_REVIEW
NMC-PIPE-F08FFF37,PIPE | 6.0IN | A106B | MTR,pipe,pipe,MTR,SAIL,1,274,,,1.0,NEEDS_REVIEW
NMC-FAST-STUD-92B4E45B,STUD BOLT | M16X80 | B7 | PLN | NOS,fastener,stud bolt,NOS,SAIL,1,87,,,1.0,UNIQUE
NMC-BRG-BALL-FA35062E,BALL BEARING | 6205 | NOS,bearing,ball bearing,NOS,SAIL,1,248,,,1.0,NEEDS_REVIEW
PROVISIONAL-CABLE-SAIL-S100455,CABLE | 1.1KV | XLPE | NOS,electrical,cable,NOS,SAIL,1,84,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
PROVISIONAL-CABLE-SAIL-S100462,CABLE | XLPE | NOS,electrical,cable,NOS,SAIL,1,83,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-FAST-NUT-853A4B1A,HEX NUT | M10 | SS316 | PLN | DIN 934 | NOS,fastener,hex nut,NOS,SAIL,1,5,,,1.0,UNIQUE
PROVISIONAL-BALL-BEARING-SAIL-S100182,BALL BEARING | 6204 | NOS,bearing,ball bearing,NOS,SAIL,1,238,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-LUB-GREASE-61C73F0D,GREASE | NLGI2 | 5KG | PKT,lubricant,grease,PKT,SAIL,1,418,,,1.0,NEEDS_REVIEW
NMC-PIPE-5BD0BCB7,PIPE | 2.0IN | TP304 | SCH10 | MTR,pipe,pipe,MTR,SAIL,1,848,,,1.0,UNIQUE
NMC-INS-PGAUGE-84E4439D,PRESSURE GAUGE | 4.0IN | 10KG | BOURDON | NOS,instrument,pressure gauge,NOS,SAIL,1,1304,,,1.0,NEEDS_REVIEW
NMC-VLV-BFLY-F8D95E9D,BUTTERFLY VALVE | 6.0IN | 150 | NOS,valve,butterfly valve,NOS,SAIL,1,3017,,,1.0,NEEDS_REVIEW
PROVISIONAL-BALL-BEARING-SAIL-S100203,BALL BEARING | NOS,bearing,ball bearing,NOS,SAIL,1,258,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
PROVISIONAL-THERMOWELL-SAIL-S100672,THERMOWELL | 2.0IN | 150MM | NOS,instrument,thermowell,NOS,SAIL,1,827,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-FAST-NUT-E7BE7B61,HEX NUT | M18 | 8 | DIN 934 | NOS,fastener,hex nut,NOS,SAIL,1,5,,,1.0,UNIQUE
NMC-PIPE-B9B9E7C7,PIPE | MTR,pipe,pipe,MTR,SAIL,1,299,,,1.0,NEEDS_REVIEW
NMC-VLV-SAFETY-8D4A7589,SAFETY VALVE | 1.0IN-1.5IN | 150 | NOS,valve,safety valve,NOS,SAIL,1,3810,,,1.0,NEEDS_REVIEW
PROVISIONAL-BALL-BEARING-SAIL-S100210,BALL BEARING | NOS,bearing,ball bearing,NOS,SAIL,1,234,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
PROVISIONAL-PRESSURE-GAUGE-SAIL-S100658,PRESSURE GAUGE | 4.0IN | 16KG | BOURDON | BSP | NOS,instrument,pressure gauge,NOS,SAIL,1,1379,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-PIPE-85C25447,PIPE | 2.0IN | TP316 | MTR,pipe,pipe,MTR,SAIL,1,831,,,1.0,NEEDS_REVIEW
NMC-FAST-BOLT-1E493716,HEX BOLT | 8.8 | BLK | DIN 931 | NOS,fastener,hex bolt,NOS,SAIL,1,16,,,1.0,NEEDS_REVIEW
NMC-FAST-NUT-170EAEDE,HEX NUT | M10 | SS304 | PLN | DIN 934 | NOS,fastener,hex nut,NOS,SAIL,1,6,,,1.0,UNIQUE
NMC-FIT-ELBOW-00E830EF,ELBOW | 2.0IN | SCH40 | NOS,fitting,elbow,NOS,SAIL,1,349,,,1.0,NEEDS_REVIEW
NMC-VLV-GLOBE-344344D8,GLOBE VALVE | FORGED STEEL | 800 | SW | NOS,valve,globe valve,NOS,SAIL,1,3286,,,1.0,NEEDS_REVIEW
PROVISIONAL-BALL-BEARING-SAIL-S100196,BALL BEARING | NOS,bearing,ball bearing,NOS,SAIL,1,247,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-VLV-CHECK-5720390A,CHECK VALVE | 3.0IN | 150 | FLG | NOS,valve,check valve,NOS,SAIL,1,2631,,,1.0,NEEDS_REVIEW
NMC-VLV-SAFETY-74D22385,SAFETY VALVE | 1.0IN-1.5IN | 150 | SCR | NOS,valve,safety valve,NOS,SAIL,1,4167,,,1.0,NEEDS_REVIEW
NMC-GEN-5B1CE629,UNKNOWN | NOS,unknown,unknown,NOS,SAIL,1,228,,,1.0,NEEDS_REVIEW
NMC-VLV-CHECK-8D0BF910,CHECK VALVE | CAST IRON | FLG | NOS,valve,check valve,NOS,SAIL,1,2844,,,1.0,NEEDS_REVIEW
NMC-BRG-BALL-D67D1726,BALL BEARING | 6305 | NOS,bearing,ball bearing,NOS,SAIL,1,238,,,1.0,NEEDS_REVIEW
NMC-GEN-A0E463A2,UNKNOWN | M12X40 | 8.8 | ZN | IS 1364 | NOS,unknown,unknown,NOS,SAIL,1,16,,,1.0,NEEDS_REVIEW
PROVISIONAL-CABLE-SAIL-S100483,CABLE | XLPE | NOS,electrical,cable,NOS,SAIL,1,95,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-ELEC-MCB-EF31AEAE,MCB | 2P | C | NOS,electrical,mcb,NOS,SAIL,1,396,,,1.0,NEEDS_REVIEW
NMC-INS-PGAUGE-471B647C,PRESSURE GAUGE | 6.0IN | 10KG | BSP | NOS,instrument,pressure gauge,NOS,SAIL,1,1262,,,1.0,NEEDS_REVIEW
NMC-INS-THRMW-6B522C82,THERMOWELL | 2.0IN | SS304 | 150MM | NOS,instrument,thermowell,NOS,SAIL,1,806,,,1.0,UNIQUE
